Batch number: 38, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90760.000000, avg_PtsChecked 84065.211400, wrst_Dist 0.276001, avg_Dist 0.004772, wrst_RelativeDist 1.072280, avg_RelativeDist 1.002676, avg_rho 0.742000, tau 2212.264528, tau_other 0.001484, num_buckets 12032,ClusteringTime 0.010000,avg_SearchingTime 0.631715, wrst_SearchingTime 0.940000 
Batch number: 39, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90785.000000, avg_PtsChecked 83827.802500, wrst_Dist 0.324867, avg_Dist 0.005708, wrst_RelativeDist 1.070601, avg_RelativeDist 1.003424, avg_rho 0.676600, tau 2149.452328, tau_other 0.001446, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.625367, wrst_SearchingTime 1.010000 
Batch number: 40, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90812.000000, avg_PtsChecked 84132.423500, wrst_Dist 0.272709, avg_Dist 0.006366, wrst_RelativeDist 1.096214, avg_RelativeDist 1.003861, avg_rho 0.639300, tau 2103.331621, tau_other 0.001410, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.577411, wrst_SearchingTime 0.940000 
Batch number: 41, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90826.000000, avg_PtsChecked 84169.114700, wrst_Dist 0.263597, avg_Dist 0.007371, wrst_RelativeDist 1.086107, avg_RelativeDist 1.004587, avg_rho 0.601100, tau 2052.925766, tau_other 0.001376, num_buckets 12032,ClusteringTime 0.010000,avg_SearchingTime 0.526700, wrst_SearchingTime 0.960000 
Batch number: 42, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90837.000000, avg_PtsChecked 84309.419200, wrst_Dist 0.406304, avg_Dist 0.007972, wrst_RelativeDist 1.070496, avg_RelativeDist 1.004996, avg_rho 0.568600, tau 2007.387198, tau_other 0.001343, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.524571, wrst_SearchingTime 0.670000 
Batch number: 43, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90844.000000, avg_PtsChecked 84312.868500, wrst_Dist 0.373067, avg_Dist 0.008887, wrst_RelativeDist 1.104224, avg_RelativeDist 1.005556, avg_rho 0.527200, tau 1960.783992, tau_other 0.001312, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.532937, wrst_SearchingTime 0.750000 
Batch number: 44, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90971.000000, avg_PtsChecked 84318.839100, wrst_Dist 0.313086, avg_Dist 0.009557, wrst_RelativeDist 1.101117, avg_RelativeDist 1.006058, avg_rho 0.504200, tau 1916.356416, tau_other 0.001282, num_buckets 12032,ClusteringTime 0.020000,avg_SearchingTime 0.536508, wrst_SearchingTime 0.680000 
Batch number: 45, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90965.000000, avg_PtsChecked 84266.708000, wrst_Dist 0.250019, avg_Dist 0.010515, wrst_RelativeDist 1.093350, avg_RelativeDist 1.006547, avg_rho 0.477600, tau 1872.612237, tau_other 0.001253, num_buckets 12032,ClusteringTime 0.010000,avg_SearchingTime 0.711271, wrst_SearchingTime 1.220000 
Batch number: 46, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90985.000000, avg_PtsChecked 84427.804800, wrst_Dist 0.336335, avg_Dist 0.010509, wrst_RelativeDist 1.101827, avg_RelativeDist 1.006788, avg_rho 0.466500, tau 1835.405415, tau_other 0.001226, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.553574, wrst_SearchingTime 1.010000 
Batch number: 47, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 91016.000000, avg_PtsChecked 84145.543900, wrst_Dist 0.299168, avg_Dist 0.011399, wrst_RelativeDist 1.092279, avg_RelativeDist 1.007260, avg_rho 0.431000, tau 1790.348625, tau_other 0.001200, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.553793, wrst_SearchingTime 0.880000 
Batch number: 48, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 91041.000000, avg_PtsChecked 84260.528000, wrst_Dist 0.269003, avg_Dist 0.011967, wrst_RelativeDist 1.092213, avg_RelativeDist 1.007695, avg_rho 0.415800, tau 1755.445221, tau_other 0.001175, num_buckets 12032,ClusteringTime 0.010000,avg_SearchingTime 0.559224, wrst_SearchingTime 0.850000 
Batch number: 49, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 91072.000000, avg_PtsChecked 84230.368800, wrst_Dist 0.250041, avg_Dist 0.012251, wrst_RelativeDist 1.094520, avg_RelativeDist 1.007990, avg_rho 0.408800, tau 1719.004308, tau_other 0.001151, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.565146, wrst_SearchingTime 0.720000 
Batch number: 50, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 1568.000000, avg_PtsChecked 1023.618200, wrst_Dist 2.598029, avg_Dist 1.085892, wrst_RelativeDist 1.061866, avg_RelativeDist 1.025586, avg_rho 0.023900, tau 20.472569, tau_other 0.001128, num_buckets 12032,ClusteringTime 0.010000,avg_SearchingTime 0.489842, wrst_SearchingTime 0.770000 
