Batch number: 51, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 446902.000000, avg_PtsChecked 349594.864700, wrst_Dist 0.974685, avg_Dist 0.000388, wrst_RelativeDist 2.556785, avg_RelativeDist 1.000477, avg_rho 0.999000, tau 6854.869817, tau_other 0.003477, num_buckets 3152,ClusteringTime 0.029877,avg_SearchingTime 0.133444, wrst_SearchingTime 0.156583 
Batch number: 52, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 454755.000000, avg_PtsChecked 348528.390400, wrst_Dist 2.258787, avg_Dist 0.000446, wrst_RelativeDist 4.907667, avg_RelativeDist 1.000869, avg_rho 0.999500, tau 6702.536072, tau_other 0.003441, num_buckets 3181,ClusteringTime 0.030680,avg_SearchingTime 0.134757, wrst_SearchingTime 0.153377 
Batch number: 53, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 462154.000000, avg_PtsChecked 352467.267700, wrst_Dist 3.383337, avg_Dist 0.000673, wrst_RelativeDist 2.221386, avg_RelativeDist 1.000336, avg_rho 0.999200, tau 6650.392310, tau_other 0.003399, num_buckets 3203,ClusteringTime 0.022193,avg_SearchingTime 0.135863, wrst_SearchingTime 0.166238 
Batch number: 54, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 471625.000000, avg_PtsChecked 358438.684000, wrst_Dist 0.955639, avg_Dist 0.000376, wrst_RelativeDist 4.573542, avg_RelativeDist 1.000631, avg_rho 0.999300, tau 6637.819786, tau_other 0.003357, num_buckets 3223,ClusteringTime 0.020993,avg_SearchingTime 0.138147, wrst_SearchingTime 0.160654 
Batch number: 55, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 480472.000000, avg_PtsChecked 364913.757900, wrst_Dist 0.763066, avg_Dist 0.000158, wrst_RelativeDist 1.531274, avg_RelativeDist 1.000153, avg_rho 0.999300, tau 6634.861947, tau_other 0.003317, num_buckets 3243,ClusteringTime 0.021419,avg_SearchingTime 0.140310, wrst_SearchingTime 0.170849 
Batch number: 56, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 488220.000000, avg_PtsChecked 367915.355000, wrst_Dist 40.467779, avg_Dist 0.004187, wrst_RelativeDist 1.334085, avg_RelativeDist 1.000083, avg_rho 0.999500, tau 6569.982753, tau_other 0.003284, num_buckets 3269,ClusteringTime 0.021181,avg_SearchingTime 0.142167, wrst_SearchingTime 0.163614 
Batch number: 57, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 498133.000000, avg_PtsChecked 376834.298300, wrst_Dist 0.482516, avg_Dist 0.000086, wrst_RelativeDist 1.400171, avg_RelativeDist -nan, avg_rho 0.999700, tau 6611.194152, tau_other 0.003241, num_buckets 3284,ClusteringTime 0.022031,avg_SearchingTime 0.145149, wrst_SearchingTime 0.199629 
Batch number: 58, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 506250.000000, avg_PtsChecked 380264.238000, wrst_Dist 0.630208, avg_Dist 0.000122, wrst_RelativeDist 1.590438, avg_RelativeDist 1.000116, avg_rho 0.999800, tau 6556.345529, tau_other 0.003198, num_buckets 3297,ClusteringTime 0.021464,avg_SearchingTime 0.146796, wrst_SearchingTime 0.180814 
Batch number: 59, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 515807.000000, avg_PtsChecked 392467.779700, wrst_Dist 1.113214, avg_Dist 0.000218, wrst_RelativeDist 1.575415, avg_RelativeDist 1.000174, avg_rho 0.999600, tau 6652.062787, tau_other 0.003159, num_buckets 3313,ClusteringTime 0.022290,avg_SearchingTime 0.149764, wrst_SearchingTime 0.192398 
Batch number: 60, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 525574.000000, avg_PtsChecked 395855.514500, wrst_Dist 4.116269, avg_Dist 0.000590, wrst_RelativeDist 1.365368, avg_RelativeDist 1.000111, avg_rho 0.999200, tau 6597.657885, tau_other 0.003119, num_buckets 3327,ClusteringTime 0.021151,avg_SearchingTime 0.150946, wrst_SearchingTime 0.178466 
