Batch number: 46, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 47587.000000, avg_PtsChecked 33335.825700, wrst_Dist 1.258405, avg_Dist 0.000719, wrst_RelativeDist 1.641055, avg_RelativeDist 1.000259, avg_rho 0.997600, tau 724.699110, tau_other 0.000031, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.087816, wrst_SearchingTime 0.110000 
Batch number: 47, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 48622.000000, avg_PtsChecked 34052.348800, wrst_Dist 0.719950, avg_Dist 0.000417, wrst_RelativeDist 1.251226, avg_RelativeDist 1.000138, avg_rho 0.998000, tau 724.525305, tau_other 0.000030, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.089711, wrst_SearchingTime 0.110000 
Batch number: 48, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 49656.000000, avg_PtsChecked 34781.133500, wrst_Dist 0.878588, avg_Dist 0.000684, wrst_RelativeDist 1.319018, avg_RelativeDist 1.000238, avg_rho 0.997600, tau 724.614194, tau_other 0.000029, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.091705, wrst_SearchingTime 0.120000 
Batch number: 49, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 50691.000000, avg_PtsChecked 35508.845900, wrst_Dist 0.996473, avg_Dist 0.000585, wrst_RelativeDist 1.383038, avg_RelativeDist 1.000188, avg_rho 0.997500, tau 724.677571, tau_other 0.000029, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.093633, wrst_SearchingTime 0.110000 
Batch number: 50, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 51725.000000, avg_PtsChecked 36210.070100, wrst_Dist 1.551174, avg_Dist 0.001171, wrst_RelativeDist 1.623226, avg_RelativeDist 1.000377, avg_rho 0.997000, tau 724.208644, tau_other 0.000028, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.095528, wrst_SearchingTime 0.110000 
Batch number: 51, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 52760.000000, avg_PtsChecked 36952.043900, wrst_Dist 1.940517, avg_Dist 0.000784, wrst_RelativeDist 1.477062, avg_RelativeDist 1.000266, avg_rho 0.997700, tau 724.557126, tau_other 0.000028, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.097456, wrst_SearchingTime 0.120000 
Batch number: 52, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 53794.000000, avg_PtsChecked 37665.872300, wrst_Dist 1.590013, avg_Dist 0.000793, wrst_RelativeDist 1.507688, avg_RelativeDist 1.000258, avg_rho 0.997700, tau 724.350942, tau_other 0.000028, num_buckets 45,ClusteringTime 0.020000,avg_SearchingTime 0.099401, wrst_SearchingTime 0.120000 
Batch number: 53, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 54829.000000, avg_PtsChecked 38381.868400, wrst_Dist 0.903083, avg_Dist 0.000857, wrst_RelativeDist 1.391043, avg_RelativeDist 1.000290, avg_rho 0.997000, tau 724.193438, tau_other 0.000027, num_buckets 45,ClusteringTime 0.010000,avg_SearchingTime 0.101344, wrst_SearchingTime 0.120000 
Batch number: 54, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 55863.000000, avg_PtsChecked 39122.601800, wrst_Dist 0.798475, avg_Dist 0.000519, wrst_RelativeDist 1.329876, avg_RelativeDist 1.000178, avg_rho 0.997900, tau 724.499871, tau_other 0.000027, num_buckets 45,ClusteringTime 0.020000,avg_SearchingTime 0.103330, wrst_SearchingTime 0.130000 
Batch number: 55, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 56898.000000, avg_PtsChecked 39841.224000, wrst_Dist 0.520081, avg_Dist 0.000412, wrst_RelativeDist 1.183309, avg_RelativeDist 1.000135, avg_rho 0.998000, tau 724.393135, tau_other 0.000026, num_buckets 45,ClusteringTime 0.020000,avg_SearchingTime 0.105248, wrst_SearchingTime 0.140000 
