Batch number: 62, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 514849.000000, avg_PtsChecked 346844.759700, wrst_Dist 0.359433, avg_Dist 0.000202, wrst_RelativeDist 1.152349, avg_RelativeDist -nan, avg_rho 0.998800, tau 5594.326261, tau_other 0.001001, num_buckets 2000,ClusteringTime 0.020000,avg_SearchingTime 0.184625, wrst_SearchingTime 0.400000 
Batch number: 63, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 525145.000000, avg_PtsChecked 352082.986900, wrst_Dist 0.624432, avg_Dist 0.000227, wrst_RelativeDist 1.198811, avg_RelativeDist -nan, avg_rho 0.998700, tau 5588.674726, tau_other 0.000990, num_buckets 2010,ClusteringTime 0.020000,avg_SearchingTime 0.187442, wrst_SearchingTime 0.410000 
Batch number: 64, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 535923.000000, avg_PtsChecked 358185.856200, wrst_Dist 0.369588, avg_Dist 0.000162, wrst_RelativeDist 1.124288, avg_RelativeDist -nan, avg_rho 0.998300, tau 5596.709970, tau_other 0.000978, num_buckets 2017,ClusteringTime 0.020000,avg_SearchingTime 0.190550, wrst_SearchingTime 0.420000 
Batch number: 65, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 542407.000000, avg_PtsChecked 363863.194100, wrst_Dist 0.298848, avg_Dist 0.000205, wrst_RelativeDist 1.091004, avg_RelativeDist -nan, avg_rho 0.998700, tau 5597.951273, tau_other 0.000969, num_buckets 2029,ClusteringTime 0.030000,avg_SearchingTime 0.194132, wrst_SearchingTime 0.420000 
Batch number: 66, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 552703.000000, avg_PtsChecked 371084.492300, wrst_Dist 0.337978, avg_Dist 0.000192, wrst_RelativeDist 1.139707, avg_RelativeDist -nan, avg_rho 0.998400, tau 5622.548533, tau_other 0.000958, num_buckets 2038,ClusteringTime 0.020000,avg_SearchingTime 0.196485, wrst_SearchingTime 0.280000 
Batch number: 67, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 553898.000000, avg_PtsChecked 376270.987700, wrst_Dist 1.117844, avg_Dist 0.000291, wrst_RelativeDist 1.361817, avg_RelativeDist -nan, avg_rho 0.998500, tau 5616.041051, tau_other 0.000950, num_buckets 2051,ClusteringTime 0.020000,avg_SearchingTime 0.199645, wrst_SearchingTime 0.350000 
Batch number: 68, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 569732.000000, avg_PtsChecked 379570.085900, wrst_Dist 1.321560, avg_Dist 0.000407, wrst_RelativeDist 1.301523, avg_RelativeDist -nan, avg_rho 0.998100, tau 5581.968848, tau_other 0.000938, num_buckets 2055,ClusteringTime 0.030000,avg_SearchingTime 0.202088, wrst_SearchingTime 0.290000 
Batch number: 69, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 579553.000000, avg_PtsChecked 388513.961100, wrst_Dist 1.166286, avg_Dist 0.000233, wrst_RelativeDist 1.458109, avg_RelativeDist -nan, avg_rho 0.999400, tau 5630.693424, tau_other 0.000928, num_buckets 2064,ClusteringTime 0.020000,avg_SearchingTime 0.205927, wrst_SearchingTime 0.290000 
Batch number: 70, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 587075.000000, avg_PtsChecked 394417.565600, wrst_Dist 0.659020, avg_Dist 0.000167, wrst_RelativeDist 1.259630, avg_RelativeDist -nan, avg_rho 0.998600, tau 5634.592997, tau_other 0.000921, num_buckets 2077,ClusteringTime 0.020000,avg_SearchingTime 0.216877, wrst_SearchingTime 0.430000 
Batch number: 71, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 594265.000000, avg_PtsChecked 402514.753700, wrst_Dist 0.628712, avg_Dist 0.000258, wrst_RelativeDist 1.219030, avg_RelativeDist -nan, avg_rho 0.997700, tau 5669.278576, tau_other 0.000911, num_buckets 2084,ClusteringTime 0.040000,avg_SearchingTime 0.222653, wrst_SearchingTime 0.450000 
