Batch number: 53, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 152515.000000, avg_PtsChecked 47877.876300, wrst_Dist 0.286536, avg_Dist 0.000403, wrst_RelativeDist 3.439817, avg_RelativeDist 1.003038, avg_rho 0.992100, tau 903.365190, tau_other 0.004220, num_buckets 8946,ClusteringTime 0.810000,avg_SearchingTime 0.245148, wrst_SearchingTime 0.430000 
Batch number: 54, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 149063.000000, avg_PtsChecked 116866.296500, wrst_Dist 0.153153, avg_Dist 0.000468, wrst_RelativeDist 2.807817, avg_RelativeDist 1.004129, avg_rho 0.987700, tau 2164.212318, tau_other 0.004275, num_buckets 9233,ClusteringTime 0.820000,avg_SearchingTime 0.293335, wrst_SearchingTime 0.420000 
Batch number: 55, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 154159.000000, avg_PtsChecked 114356.022600, wrst_Dist 0.061935, avg_Dist 0.000036, wrst_RelativeDist 1.962677, avg_RelativeDist 1.000479, avg_rho 0.999100, tau 2079.221203, tau_other 0.004231, num_buckets 9309,ClusteringTime 1.040000,avg_SearchingTime 0.308869, wrst_SearchingTime 0.440000 
Batch number: 56, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 162036.000000, avg_PtsChecked 121284.186000, wrst_Dist 0.093473, avg_Dist 0.000028, wrst_RelativeDist 1.819919, avg_RelativeDist 1.000203, avg_rho 0.999200, tau 2165.810694, tau_other 0.004164, num_buckets 9328,ClusteringTime 1.120000,avg_SearchingTime 0.314962, wrst_SearchingTime 0.380000 
Batch number: 57, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 169476.000000, avg_PtsChecked 130283.723600, wrst_Dist 0.105551, avg_Dist 0.000057, wrst_RelativeDist 1.480373, avg_RelativeDist 1.000306, avg_rho 0.998600, tau 2285.702218, tau_other 0.004100, num_buckets 9348,ClusteringTime 1.020000,avg_SearchingTime 0.317809, wrst_SearchingTime 0.360000 
Batch number: 58, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 177554.000000, avg_PtsChecked 68357.119200, wrst_Dist 0.012907, avg_Dist 0.009698, wrst_RelativeDist 1.002387, avg_RelativeDist 1.001794, avg_rho 0.143100, tau 1178.582807, tau_other 0.004034, num_buckets 9358,ClusteringTime 1.010000,avg_SearchingTime 0.261289, wrst_SearchingTime 0.360000 
Batch number: 59, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 68934.000000, avg_PtsChecked 51641.630100, wrst_Dist 0.045108, avg_Dist 0.000750, wrst_RelativeDist 3.379435, avg_RelativeDist 1.020409, avg_rho 0.917800, tau 875.290619, tau_other 0.003970, num_buckets 9368,ClusteringTime 0.990000,avg_SearchingTime 0.252198, wrst_SearchingTime 0.360000 
Batch number: 60, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 79167.000000, avg_PtsChecked 61049.214300, wrst_Dist 0.092252, avg_Dist 0.000083, wrst_RelativeDist 4.704139, avg_RelativeDist 1.001110, avg_rho 0.997000, tau 1017.497080, tau_other 0.003906, num_buckets 9374,ClusteringTime 1.100000,avg_SearchingTime 0.257000, wrst_SearchingTime 0.290000 
Batch number: 61, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 52717.000000, avg_PtsChecked 52572.816800, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 861.858074, tau_other 0.003846, num_buckets 9384,ClusteringTime 1.240000,avg_SearchingTime 0.282025, wrst_SearchingTime 0.300000 
Batch number: 62, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 66091.000000, avg_PtsChecked 62555.961600, wrst_Dist 0.104827, avg_Dist 0.000010, wrst_RelativeDist 4.340716, avg_RelativeDist 1.000334, avg_rho 0.999900, tau 1008.977212, tau_other 0.003784, num_buckets 9384,ClusteringTime 1.410000,avg_SearchingTime 0.284550, wrst_SearchingTime 0.330000 
Batch number: 63, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 134316.000000, avg_PtsChecked 72774.130300, wrst_Dist 2.513921, avg_Dist 0.004376, wrst_RelativeDist 1.807737, avg_RelativeDist 1.002824, avg_rho 0.966100, tau 1155.156477, tau_other 0.003724, num_buckets 9385,ClusteringTime 1.410000,avg_SearchingTime 0.286238, wrst_SearchingTime 0.410000 
Batch number: 64, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 121788.000000, avg_PtsChecked 61853.893400, wrst_Dist 0.686891, avg_Dist 0.015247, wrst_RelativeDist 9.489514, avg_RelativeDist 1.078619, avg_rho 0.865000, tau 966.476749, tau_other 0.003788, num_buckets 9697,ClusteringTime 1.280000,avg_SearchingTime 0.275897, wrst_SearchingTime 0.440000 
